;skew;kurtosis;sigma_theta_mean;sigma_theta_median;sigma_theta_low5;sigma_theta_high95;beta_mean;beta_median;beta_low5;beta_high95;sector;Retail %
TGT;0.0684515027327858;2.768.213.994.729.130;2.082.882;207.652;0.575578898191452;3.587.807.238.101.950;0.82822126;0.83151215;0.7551276177167893;0.887410220503807;Consumer Staples;
TEL;-0.42940037320897684;106.311.677.840.191;20.531.206;20.623.684;0.5424743294715881;3.573.248.875.141.140;0.68301445;0.68179035;0.5614829957485199;0.809989708662033;Information Technology;
TDY;-12.204.982.224.964.100;22.068.152.369.827.900;20.974.617;21.047.363;0.6012388914823532;36.019.214.272.499.000;0.7987828;0.8028271;0.705055096745491;0.8813211232423782;Information Technology;
TFX;-0.040626311484962305;874.484.850.420.422;2.049.863;20.445.719;0.5336824357509613;35.643.353.581.428.500;0.6301852;0.6264641;0.49543740004301073;0.7774396121501921;Health Care;
TER;-0.04300367604075238;9.958.516.489.101.610;20.654.926;20.550.013;0.5467615753412247;3.566.513.705.253.600;0.670709;0.6678496;0.5461998611688614;0.8022862792015074;Information Technology;
TSLA;0.20738245971587976;6.455.585.065.655.240;20.408.242;20.385.091;0.5405616670846939;3.551.579.988.002.770;0.49014145;0.48304713;0.32385338842868805;0.6826132893562316;Consumer Discretionary;
TXN;0.03217247252636049;7.090.820.939.058.550;2.051.963;2.060.439;0.5254673004150391;35.656.282.186.508.100;0.54486704;0.53943384;0.3871946483850479;0.722271379828453;Information Technology;
TXT;-0.008968879006767799;12.366.345.070.046.200;20.596.595;2.051.374;0.5579070687294007;35.769.436.717.033.300;0.7252285;0.7243595;0.6174901098012924;0.8356950223445893;Industrials;
TMO;0.008476869189409117;6.112.480.206.801.870;20.624.402;20.739.083;0.5089854031801224;3.589.467.394.351.950;0.4571543;0.45067886;0.28092605620622635;0.6596899539232253;Health Care;
TJX;-0.3605538313080605;1.760.081.814.019.030;20.655.816;20.602.665;0.5732409447431565;3.562.872.350.215.910;0.782065;0.7843485;0.6867186069488526;0.8703629434108733;Consumer Discretionary;
TSCO;-0.429649944590355;8.055.416.582.379.310;2.047.689;20.546.699;0.5235306441783906;35.678.900.003.433.200;0.5928745;0.5907345;0.44151379019021986;0.7544366449117661;Consumer Discretionary;
TT;0.14218850894348453;9.202.767.362.432.610;20.587.487;20.691.743;0.53585304915905;3.573.186.194.896.690;0.6482432;0.6442751;0.5174674987792969;0.7901605576276779;Industrials;
TDG;0.24232307213421864;22.513.548.803.460.000;20.772.264;20.760.756;0.5486550897359849;36.042.767.882.347.100;0.81214815;0.81605935;0.7292531669139862;0.8820515036582947;Industrials;
TRV;-14.704.827.664.099.900;257.617.712.805.017;2.084.022;2.087.849;0.5760527044534683;3.570.707.619.190.210;0.81226104;0.816794;0.7245209395885468;0.8847764074802398;Financials;
TRMB;-0.12338248642956512;13.122.236.652.109.000;20.633.411;20.559.752;0.5633536010980608;36.026.435.613.632.200;0.73585534;0.73507404;0.6314335703849793;0.8433175653219223;Information Technology;
TFC;-0.2538811775471633;12.981.447.686.557.400;2.061.522;20.519.412;0.5505005180835724;35.818.484.783.172.600;0.7319388;0.73174477;0.62592933177948;0.8406533658504486;Financials;
TYL;-0.08177965622785055;7.533.629.860.598.360;20.460.224;2.045.824;0.5214836239814759;35.962.952.852.249.100;0.5713104;0.5660801;0.42278673201799394;0.7393616199493406;Information Technology;
TSN;0.2813532636076464;24.563.814.515.891.100;20.792.022;20.762.153;0.5855540573596955;3.579.248.261.451.720;0.82035244;0.82369256;0.7426527738571167;0.8850489467382431;Consumer Staples;
USB;0.1250577381518375;11.970.977.500.097.000;20.590.134;2.065.587;0.5406088143587112;35.977.734.923.362.700;0.7175194;0.71612895;0.6082849413156509;0.8341425985097884;Financials;
UBER;12.076.433.211.591.900;17.669.379.292.086.700;20.910.459;20.931.869;0.5965377539396286;35.841.010.808.944.600;0.7806766;0.78369236;0.6752193748950959;0.8747094631195068;Industrials;
UDR;-0.12222243259271033;14.835.822.863.751.000;2.079.008;20.739.553;0.570772197842598;3.598.544.752.597.800;0.7568711;0.75699115;0.6586191296577454;0.8571039348840713;Real Estate;
ULTA;-0.7018412612185871;27.805.965.298.179.400;20.985.427;20.981.863;0.5923912465572357;36.017.428.874.969.400;0.8247404;0.8286056;0.7471017479896546;0.8877688676118851;Consumer Discretionary;
UNP;0.012133479822512021;12.744.548.125.071.500;2.049.709;20.418.506;0.5493280470371247;35.610.410.928.726.100;0.73097664;0.7296031;0.6233094066381455;0.8426248639822006;Industrials;
UAL;0.09765120186524144;14.991.736.610.945.200;20.841.815;20.802.996;0.5737841665744782;3.580.714.499.950.400;0.7607735;0.7613481;0.6614214569330216;0.8597559064626693;Industrials;
UPS;0.5634237246073761;121.386.848.244.621;2.052.575;20.437.245;0.5591417580842972;3.573.835.718.631.740;0.7193873;0.71907854;0.6025953680276871;0.8382872968912124;Industrials;
URI;0.03554934799526463;8.499.925.784.692.570;20.455.463;20.389.051;0.5176764607429505;3.578.671.562.671.660;0.62361276;0.6193002;0.48481020480394366;0.7766558855772019;Industrials;
UNH;-0.06920739302049793;15.322.787.974.443.300;20.626.202;2.057.279;0.5591044634580612;35.700.209.736.824.000;0.76372194;0.76422656;0.6640293598175049;0.8584689944982529;Health Care;
UHS;0.11943931801405584;2.341.677.344.164.050;2.082.585;20.827.127;0.551413607597351;3.581.013.941.764.830;0.81616414;0.8193938;0.736478516459465;0.8839033007621765;Health Care;
VLO;0.7355335113167129;17.109.452.304.202.200;2.076.239;20.749.826;0.5777574300765991;3.580.111.861.228.940;0.7800747;0.781559;0.6821225136518478;0.8710103303194046;Energy;
VTR;-0.8845522069792036;3.274.917.773.551.120;20.681.093;20.647.721;0.5463811427354812;35.852.083.444.595.300;0.83467615;0.8389932;0.7622517645359039;0.8907842695713043;Real Estate;
VLTO;-0.06135560952058363;3.372.403.261.455.170;18.135.879;16.840.279;0.35482734739780425;35.387.803.316.116.300;0.15370928;0.13760465;0.10304309576749801;0.26397367715835557;Industrials;
VRSN;0.398004885863456;16.743.053.247.848.000;2.072.872;20.694.387;0.5580236613750458;35.827.531.099.319.400;0.7784076;0.7800235;0.6831060767173767;0.8690120369195938;Information Technology;
VRSK;-0.19337865513434174;13.649.419.977.044.700;20.690.362;20.621.464;0.5689752042293549;3.584.478.664.398.190;0.7421208;0.7427721;0.6377987504005432;0.8467286109924316;Industrials;
VZ;0.1829865556958048;9.094.324.303.195.160;20.383.124;2.025.896;0.516318854689598;3.582.620.906.829.830;0.6450158;0.64121157;0.513347840309143;0.7900109827518463;Communication Services;
VRTX;-0.2423128334655873;15.727.573.514.445.400;20.695.624;20.723.743;0.5460457593202591;35.939.947.485.923.700;0.7658159;0.7670568;0.666830626130104;0.860929188132286;Health Care;
VTRS;-106.889.813.052.066;19.965.547.202.993.600;2.087.523;20.994.792;0.5663326054811477;35.973.463.535.308.800;0.78873485;0.7915682;0.6897881865501404;0.8768487334251404;Health Care;
VICI;-2.076.363.030.836.740;4.301.043.648.177.080;20.554.423;2.048.098;0.5479121118783952;35.707.030.296.325.600;0.83963895;0.8429036;0.7796111583709717;0.8894200474023819;Real Estate;
V;0.22949180469586944;12.567.382.417.280.100;20.597.403;2.053.194;0.5396961838006974;3.574.797.046.184.530;0.7285455;0.7275597;0.6204462289810181;0.8397645443677902;Financials;
VMC;0.3426063821755383;15.848.048.020.153.700;20.729.566;2.066.071;0.5962981700897216;35.881.692.886.352.500;0.77107656;0.772513;0.6739134430885315;0.8640225112438201;Materials;
WRB;-0.23550085844418386;15.365.624.081.296.200;20.691.593;20.656.104;0.5694501072168351;3.571.125.745.773.310;0.7629827;0.76330554;0.6646132737398147;0.8599016755819321;Financials;
WAB;-0.3192332165570314;10.639.175.023.049.900;20.553.658;20.609.326;0.5360846191644669;3.565.769.350.528.710;0.68642133;0.6841149;0.5689296275377274;0.8142995685338974;Industrials;
WBA;-0.2805249718967002;784.926.874.309.934;20.409.253;20.350.385;0.5118031293153764;356.738.896.369.934;0.58696765;0.5836601;0.43622006177902223;0.7496470570564269;Consumer Staples;
WMT;-0.09500743536330572;1.791.998.362.570.970;20.643.032;20.585.513;0.5676739603281021;35.892.893.433.570.800;0.78608;0.788211;0.6929103791713714;0.8718074411153793;Consumer Staples;
DIS;0.46710551393182664;12.479.150.193.726.600;20.769.386;20.758.643;0.558888339996338;3.591.811.883.449.550;0.72635114;0.7252791;0.6120289981365203;0.8431238144636154;Communication Services;
WBD;-0.6029263604849279;9.459.058.285.869.840;20.563.788;2.049.252;0.532260674238205;3.577.437.806.129.450;0.6448287;0.6430893;0.5053077936172485;0.7910213530063629;Communication Services;
WM;-0.2320023112754853;14.072.105.025.513.800;20.622.723;20.605.392;0.5573147743940353;3.584.902.858.734.130;0.74840313;0.74896145;0.6456554621458054;0.8518224000930786;Industrials;
WAT;0.1635932839507538;9.008.037.818.970.390;20.639.434;20.520.678;0.5489666730165482;35.698.445.677.757.200;0.6417071;0.6380719;0.5101031422615051;0.7866387397050857;Health Care;
WEC;-0.7568941796094897;25.002.411.673.247.400;20.871.956;20.889.854;0.5957786351442338;3.605.057.263.374.320;0.8151314;0.81934565;0.7301206231117249;0.8842893809080123;Utilities;
WFC;-0.012635517799945782;10.356.686.083.629.400;20.604.553;2.067.206;0.563079422712326;3.551.331.949.234.000;0.68186134;0.6788726;0.5630727767944336;0.8088998466730117;Financials;
WELL;0.12387330545110177;28.201.214.934.382.500;20.903.761;2.087.261;0.5948223888874055;35.810.527.086.257.900;0.8294907;0.8329084;0.7586618959903717;0.8883983522653579;Real Estate;
WST;-0.06373214074014925;10.206.886.369.916.200;20.506.546;20.504.994;0.543617805838585;3.559.515.345.096.580;0.67799693;0.6765325;0.5579576015472412;0.8072156190872192;Health Care;
WDC;-0.34665358002884966;8.390.312.167.129.400;2.057.614;206.404;0.5314762324094773;3.571.772.718.429.560;0.6097252;0.60552764;0.46893504410982134;0.763477948307991;Information Technology;
WRK;-0.16152114449076846;10.310.481.722.913.700;20.425.925;20.392.497;0.5454303741455079;3.557.102.763.652.800;0.68036455;0.6772319;0.5597896784543991;0.8110651165246964;Materials;
WY;-0.004025752183803878;27.428.221.323.158.200;20.951.407;21.048.176;0.5930020362138748;3.582.015.740.871.420;0.82735693;0.8316425;0.7543268889188767;0.8875756800174713;Real Estate;
WMB;-0.32249951504289387;27.831.800.900.936.800;20.928.433;20.904.937;0.578654995560646;35.926.651.358.604.400;0.8266715;0.83052486;0.751859974861145;0.8876943916082382;Energy;
WTW;0.10878498830240088;14.085.545.123.528.300;20.475.845;2.048.016;0.526676219701767;35.775.530.099.868.700;0.7510539;0.75143504;0.6483642935752869;0.8530706763267517;Financials;
GWW;0.677260513147871;16.276.811.564.192.600;20.589.933;20.600.545;0.5791701793670654;3.540.684.187.412.260;0.77339804;0.7754007;0.6734255164861679;0.8670862615108489;Industrials;
WYNN;0.25819663407636384;11.207.961.742.424.700;20.616.364;20.660.007;0.5765431135892868;35.774.104.595.184.300;0.7028761;0.7006116;0.5861618012189865;0.8256520569324494;Consumer Discretionary;
XEL;-0.4638187185854218;14.443.682.493.720.600;20.741.444;207.802;0.5552714586257935;35.877.931.952.476.400;0.74903506;0.7487737;0.6448610872030258;0.8524936407804489;Utilities;
XYL;-0.09350272882675482;9.285.618.105.570.850;20.449.328;2.044.361;0.5277036339044571;35.436.183.691.024.700;0.6499949;0.6457017;0.5227749764919281;0.7909366756677627;Industrials;
YUM;17.452.252.057.330.500;40.549.983.693.915.500;2.084.075;20.872.855;0.5944990009069443;3.579.329.431.056.970;0.84519905;0.8485596;0.7877194434404373;0.891462367773056;Consumer Discretionary;
ZBRA;0.07655175272781314;9.886.592.372.377.760;2.057.398;20.398.989;0.5635882198810578;35.757.605.910.301.200;0.670467;0.66759574;0.5483374804258346;0.8027563333511353;Information Technology;
ZBH;0.4702797424009208;11.876.135.962.031.600;2.059.591;20.486.305;0.5539710253477097;35.919.002.175.331.100;0.71517116;0.7136214;0.5996729165315628;0.8374949693679808;Health Care;
ZTS;-0.21734356449616746;11.087.137.059.376.100;20.398.495;20.437.152;0.5284939348697663;35.634.477.496.147.100;0.69882745;0.6965755;0.5839762479066849;0.8210597485303879;Health Care;
